packagedMedicinalProductPrimaryKey;packagedMedicinalProductFullName;samviewer_url_hyperlink;samviewer_url;prescription_name_fagg_nl;prescription_bcfi_name_nl;LocalPackageID1;localPackageID2;Selected package ID ;pcidLabel;pcId;packageItemType;packageItemTypeLabel;packageItemQuantity;unitsPerPackageItem;manufacturedItemQuanty;manufacturedItemVolumeUnit;packsize;packsizeVolumeUnit;pack_display_value;pack_multiplier;pack_amount;ampp_component_equivalents;packSizeLocal;urlSpcLanguage1;urlSpcLanguage2;packSizeUnit;PackageItemTypeLocalCode;PackageItemTypeLocalLabel;numberOfContainers;unitsPerContainer;manufacturedDoseForm;manufacturedDoseFormLabel;ManufacturedDoseFormLocalLabel;manufacturedDoseFormLocalCode;manufacturedItemUnitOfPresentation;manufacturedItemUnitOfPresentationLabel;manufacturedItemUnitOfPresentationProposedLabel;manufacturedItemUnitOfPresentationProposedCode;manufacturedItemUnitOfPresentationLocalLabel;manufacturedItemUnitOfPresentationLocalCode;manufacturedItemQuantity;manufacturedItemQuantityLocalVolumeUnit;manufacturedItemQuantityVolumeUnit;medicinalProductPrimaryKey;mpIdLabel;mpid;medicnalProductLocalName;MedicinalProductLocalID;fullName;actualTherapeuticMoiety;atcCodes;atcCodeLabel;authorizedPharmaceuticalDoseForm;authorizedPharmaceuticalDoseFormLabel;marketingAuthorizationHolder;marketingAuthorizationHolderLabel;marketingAuthorizationNumber;marketingAuthorizationHolderLocalLabel;marketingAuthorizationHolderLocalCode;country;PhPIDlabel;PhPID;pharmaceuticalProductPrimaryKey;PhpidLevel4Gidwig;administrableDoseForm;administrableDoseFormLabel;Form_BCFI;virtual_form_bcfi;administrableDoseFormProposedCode;administrabledoseformProposedLabel;administrableDoseFormLocalCode;administrableDoseformLocalLabel;pharmaceuticalProductUnitOfPresentation;;pharmaceuticalProductUnitOfPresentationProposedCode;pharmaceuticalProductUnitOfPresentationProposedLabel;routesOfAdministration;routesOfAdministrationLabel;route_of_administration_fagg;virtual_route_of_administration_bcfi;routesOfAdministrationProposedCode;routesOfAdministrationlProposedLabel;routesOfAdministrationLocalCode;routesOfAdministrationLocalLabel;substancePrimaryKey;ingredientRole;substanceCode;substanceName;referenceSubstance;moietyCode;moietyLabel;substances;strengths;moietyModifierLocal;moietyLocal;ModifierLocal;referenceStrengthConcentrationNumeratorValue;referenceStrengthConcentrationNumeratorLabel;referenceStrengthConcentrationNumeratorUnit;referenceStrengthConcentrationDenominatorValue;referenceStrengthConcentrationDenominatorLabel;referenceStrengthConcentrationDenominatorUnit;strength_substances;strength_substances_strengths;virtual_substances;virtual_strength_numerator;virtual_strength_denominator;referenceStrengthPresentationNumeratorValue;referenceStrengthPresentationNumeratorLabel;referenceStrengthPresentationNumeratorUnit;referenceStrengthPresentationDenominatorValue;referenceStrengthPresentationDenominatorLabel;referenceStrengthPresentationDenominatorUnit;strengthPhpidNumeratorValue;strengthPhpidNumeratorLabel;strengthPhpidNumeratorUnit;strengthPhpidDenominatorValue;strengthPhpidDenominatorLabel;strengthPhpidDenominatorUnit;;;StrengthLocalString;strengthNumeratorValue;strenghtNumeratorLabel;strenghtNumeratorUnit;strengthDenominatorValue;strengthDenominatorLabel;strengthDenominatorUnit;strengthConcentrationNumeratorValue;strengthConcentrationNumeratorLabel;strengthConcentrationNumeratorUnit;strengthConcentrationDenominatorValue;strengthConcentrationDenominatorLabel;strengthConcentrationDenominatorUnit;strengthPresentationNumeratorValue;strengthPresentationNumeratorLabel;strengthPresentationNumeratorUnit;strengthPresentationDenominatorValue;strengthPresentationDenominatorUnitLabel;strengthPresentationDenominatorUnit;dddPerPack;dddValue;dddUnit;atcRoa;packSize;vmpGroupISIid;vmpGroupIsLabel;VmpGroupID;VmpGroupLabel;grouperOfSubstanceID;grouperOfSubstanceLabel;PhpidL1ID;PhpidL1Label;vtmID;VtmLabel;intermediateDoseFormCode;intermediateDoseFormLabel;IsiDoseFormCode;IsiDoseFormLabel;;;;GrouperOfProductsWithTheS sameSubstancesWithTheRoleOfPaiL1Phpid;GrouperOfProductsWithTheS sameSubstancesWithTheRoleOfPaiL1PhpidLabel;grouperOfProductsWithTheSameMoietyVtm;grouperOfProductsWithTheSameMoietyVtmlabel;BdfAdfEdqm;BdfAdfLabel;AmeEdqm;AmeLabel;IsiEdqm;IsiLabel;RcEdqm;RcLabel;;ADF_BDF;TRA;ISI;RC;;Pattern;System
534942-07;Amlodipin AB tabl. 100 x 10 mg;https://samviewer.digile.be/nl/sam/ampps/534942-07;https://samviewer.digile.be/nl/sam/ampps/534942-07;Amlodipin AB 10 mg tabl. 100;Amlodipin AB tabl. 100x 10mg;4219846;534942-07;534942-07;BEL amlodipine besilate Aurobindo tablet 100 x 10mg/;BEL amlodipine besilate Aurobindo tablet 100 x 10mg/;;;;;100;;100;;100;;;100.0000 {unit};28;https://app.fagg-afmps.be/pharma-status/api/files/62bc52481e5c015ab3b0d52e?version=3;;;;;1;100;10219000;tablet;tablet;313;15054000;tablet;15054000;tablet;tablet;;100;;;13156;BEL amlodipine besilate Aurobindo tablet 10mg/;;Q;13156;Amlodipin AB tabl. 10 mg;;C08CA01;Amlodipine;10221000;tablet;1302;Aurobindo;;Aurobindo;1302;BEL;amlodipine besilate tablet 10mg/;;amlodipine besilate tablet 10mg/;0x166dc3231bc949437b7638d18d00ba60;10219000;tablet;tablet;tablet;10219000;tablet;10219000;tablet;15054000;tablet;;tablet;20053000;oral use;oral use;oral use;;;;;100000090079;PAI;100000090079;amlodipine besilate;moiety;100000085259;amlodipine;Amlodipine Besilate;13.8700 mg;amlodipine besilaat;amlodipine;besilaat;;;;;;;Amlodipine Besilate;10.0000 mg;Amlodipine;10.0000 mg;1.0000 1;10;mg;2;;;;10;mg;;;;;;;;10;mg;;;;100000110655;;;;;;;;;;;;;200;5;mg;O;100;;amlodipine oral 10mg/;1651;amlodipine oraal 10 mg;TBD;amlodipine[GS];TBD;amlodipine besilate[L1];TBD;amlodipine[VTM];TBD;oral Solid Dose Form;TBD;oral;amlodipine oral 10mg/;;;3YJL6M9Z0H;amlodipine besilate (L1);TBD;amlodipine(GP);69;tablet;19;swallowing;31;oral;47;conventional;;69;19;31;47;;A;sys
534942-03;Amlodipin AB tabl. 30 x 10 mg;https://samviewer.digile.be/nl/sam/ampps/534942-03;https://samviewer.digile.be/nl/sam/ampps/534942-03;Amlodipin AB 10 mg tabl. 30;Amlodipin AB tabl. 30x 10mg;4219838;534942-03;534942-03;BEL amlodipine besilate Aurobindo tablet 30 x 10mg/;BEL amlodipine besilate Aurobindo tablet 30 x 10mg/;;;;;30;;30;;30;;;30.0000 {unit};98;https://app.fagg-afmps.be/pharma-status/api/files/62bc52481e5c015ab3b0d52e?version=3;;;;;1;30;10219000;tablet;tablet;313;15054000;tablet;15054000;tablet;tablet;;30;;;13156;BEL amlodipine besilate Aurobindo tablet 10mg/;;;13156;Amlodipin AB tabl. 10 mg;;C08CA01;Amlodipine;10221000;tablet;1302;Aurobindo;;Aurobindo;1302;BEL;amlodipine besilate tablet 10mg/;;amlodipine besilate tablet 10mg/;0x166dc3231bc949437b7638d18d00ba60;10219000;tablet;tablet;tablet;10219000;tablet;10219000;tablet;15054000;tablet;;tablet;20053000;oral use;oral use;oral use;;;;;100000090079;PAI;100000090079;amlodipine besilate;moiety;100000085259;amlodipine;Amlodipine Besilate;13.8700 mg;amlodipine besilaat;amlodipine;besilaat;;;;;;;Amlodipine Besilate;10.0000 mg;Amlodipine;10.0000 mg;1.0000 1;10;mg;2;;;;10;mg;;;;;;;;10;mg;;;;100000110655;;;;;;;;;;;;;60;5;mg;O;30;;amlodipine oral 10mg/;1651;amlodipine oraal 10 mg;TBD;amlodipine[GS];TBD;amlodipine besilate[L1];TBD;amlodipine[VTM];TBD;oral Solid Dose Form;TBD;oral;amlodipine oral 10mg/;;;3YJL6M9Z0H;amlodipine besilate (L1);TBD;amlodipine(GP);69;tablet;19;swallowing;31;oral;47;conventional;;69;19;31;47;;A;sys
404415-01;Amlodipin Sandoz (Impexeco) tabl. (deelb.) Besilaat 100 x 10 mg;https://samviewer.digile.be/nl/sam/ampps/404415-01;https://samviewer.digile.be/nl/sam/ampps/404415-01;Amlodipin Besilaat Sandoz 10 mg (Impexeco) tabl. 100;Amlodipin Sandoz (Impexeco) tabl. (deelb.) Besilaat 100x 10mg;2926590;404415-01;404415-01;BEL amlodipine besilate Impexeco tablet 100 x 10mg/;BEL amlodipine besilate Impexeco tablet 100 x 10mg/;;;;;100;;100;;100;;;100.0000 {unit};100;;;;;;1;100;10219000;tablet;tablet;313;15054000;tablet;15054000;tablet;tablet;;100;;;7975;BEL amlodipine besilate Impexeco tablet 10mg/;;;7975;Amlodipin Sandoz (Impexeco) tabl. (deelb.) Besilaat 10 mg;;C08CA01;Amlodipine;10221000;tablet;1307;Impexeco;;Impexeco;1307;BEL;amlodipine besilate tablet 10mg/;;amlodipine besilate tablet 10mg/;0x166dc3231bc949437b7638d18d00ba60;10219000;tablet;tablet;tablet;10219000;tablet;10219000;tablet;15054000;tablet;;tablet;20053000;oral use;oral use;oral use;;;;;100000090079;PAI;100000090079;amlodipine besilate;moiety;100000085259;amlodipine;Amlodipine Besilate;13.8700 mg;amlodipine besilaat;amlodipine;besilaat;;;;;;;Amlodipine;10.0000 mg;Amlodipine;10.0000 mg;1.0000 1;10;mg;2;;;;10;mg;;;;;;;;10;mg;;;;100000110655;;;;;;;;;;;;;200;5;mg;O;100;;amlodipine oral 10mg/;1651;amlodipine oraal 10 mg;TBD;amlodipine[GS];TBD;amlodipine besilate[L1];TBD;amlodipine[VTM];TBD;oral Solid Dose Form;TBD;oral;amlodipine oral 10mg/;;;3YJL6M9Z0H;amlodipine besilate (L1);TBD;amlodipine(GP);69;tablet;19;swallowing;31;oral;47;conventional;;69;19;31;47;;A;sys
292257-09;Amlodipin Sandoz tabl. (deelb.) Besilaat 100 x 10 mg;https://samviewer.digile.be/nl/sam/ampps/292257-09;https://samviewer.digile.be/nl/sam/ampps/292257-09;Amlodipin Besilaat Sandoz 10 mg tabl. 100;Amlodipin Sandoz tabl. (deelb.) Besilaat 100x 10mg;2399657;292257-09;292257-09;BEL amlodipine besilate Sandoz tablet 100 x 10mg/;BEL amlodipine besilate Sandoz tablet 100 x 10mg/;;;;;100;;100;;100;;;100.0000 {unit};30;https://app.fagg-afmps.be/pharma-status/api/files/62bc6db01e5c015ab3eba215?version=7;;;;;1;100;10219000;tablet;tablet;313;15054000;tablet;15054000;tablet;tablet;;100;;;5016;BEL amlodipine besilate Sandoz tablet 10mg/;;;5016;Amlodipin Sandoz tabl. (deelb.) Besilaat 10 mg;;C08CA01;Amlodipine;10221000;tablet;1308;Sandoz;;Sandoz;1308;BEL;amlodipine besilate tablet 10mg/;;amlodipine besilate tablet 10mg/;0x166dc3231bc949437b7638d18d00ba60;10219000;tablet;tablet;tablet;10219000;tablet;10219000;tablet;15054000;tablet;;tablet;20053000;oral use;oral use;oral use;;;;;100000090079;PAI;100000090079;amlodipine besilate;moiety;100000085259;amlodipine;Amlodipine Besilate;13.8700 mg;amlodipine besilaat;amlodipine;besilaat;;;;;;;Amlodipine;10.0000 mg;Amlodipine;10.0000 mg;1.0000 1;10;mg;2;;;;10;mg;;;;;;;;10;mg;;;;100000110655;;;;;;;;;;;;;200;5;mg;O;100;;amlodipine oral 10mg/;1651;amlodipine oraal 10 mg;TBD;amlodipine[GS];TBD;amlodipine besilate[L1];TBD;amlodipine[VTM];TBD;oral Solid Dose Form;TBD;oral;amlodipine oral 10mg/;;;3YJL6M9Z0H;amlodipine besilate (L1);TBD;amlodipine(GP);69;tablet;19;swallowing;31;oral;47;conventional;;69;19;31;47;;A;sys
292266-05;Amlodipin Sandoz tabl. (deelb.) Besilaat 100 x 10 mg (UD);https://samviewer.digile.be/nl/sam/ampps/292266-05;https://samviewer.digile.be/nl/sam/ampps/292266-05;Amlodipin Besilaat Sandoz 10 mg tabl. 100;Amlodipin Sandoz tabl. (deelb.) Besilaat 100x 10mg (UD);3266640;292266-05;292266-05;BEL amlodipine besilate Sandoz tablet 100 x 10mg/;BEL amlodipine besilate Sandoz tablet 100 x 10mg/;;;;;100;;100;;100;;;100.0000 {unit};28;https://app.fagg-afmps.be/pharma-status/api/files/62bc6db01e5c015ab3eba215?version=7;;;;;1;100;10219000;tablet;tablet;313;15054000;tablet;15054000;tablet;tablet;;100;;;5016;BEL amlodipine besilate Sandoz tablet 10mg/;;;5016;Amlodipin Sandoz tabl. (deelb.) Besilaat 10 mg;;C08CA01;Amlodipine;10221000;tablet;1308;Sandoz;;Sandoz;1308;BEL;amlodipine besilate tablet 10mg/;;amlodipine besilate tablet 10mg/;0x166dc3231bc949437b7638d18d00ba60;10219000;tablet;tablet;tablet;10219000;tablet;10219000;tablet;15054000;tablet;;tablet;20053000;oral use;oral use;oral use;;;;;100000090079;PAI;100000090079;amlodipine besilate;moiety;100000085259;amlodipine;Amlodipine Besilate;13.8700 mg;amlodipine besilaat;amlodipine;besilaat;;;;;;;Amlodipine;10.0000 mg;Amlodipine;10.0000 mg;1.0000 1;10;mg;2;;;;10;mg;;;;;;;;10;mg;;;;100000110655;;;;;;;;;;;;;200;5;mg;O;100;;amlodipine oral 10mg/;1651;amlodipine oraal 10 mg;TBD;amlodipine[GS];TBD;amlodipine besilate[L1];TBD;amlodipine[VTM];TBD;oral Solid Dose Form;TBD;oral;amlodipine oral 10mg/;;;3YJL6M9Z0H;amlodipine besilate (L1);TBD;amlodipine(GP);69;tablet;19;swallowing;31;oral;47;conventional;;69;19;31;47;;A;sys
292257-05;Amlodipin Sandoz tabl. (deelb.) Besilaat 30 x 10 mg;https://samviewer.digile.be/nl/sam/ampps/292257-05;https://samviewer.digile.be/nl/sam/ampps/292257-05;Amlodipin Besilaat Sandoz 10 mg tabl. 30;Amlodipin Sandoz tabl. (deelb.) Besilaat 30x 10mg;2399665;292257-05;292257-05;BEL amlodipine besilate Sandoz tablet 30 x 10mg/;BEL amlodipine besilate Sandoz tablet 30 x 10mg/;;;;;30;;30;;30;;;30.0000 {unit};56;https://app.fagg-afmps.be/pharma-status/api/files/62bc6db01e5c015ab3eba215?version=7;;;;;1;30;10219000;tablet;tablet;313;15054000;tablet;15054000;tablet;tablet;;30;;;5016;BEL amlodipine besilate Sandoz tablet 10mg/;;;5016;Amlodipin Sandoz tabl. (deelb.) Besilaat 10 mg;;C08CA01;Amlodipine;10221000;tablet;1308;Sandoz;;Sandoz;1308;BEL;amlodipine besilate tablet 10mg/;;amlodipine besilate tablet 10mg/;0x166dc3231bc949437b7638d18d00ba60;10219000;tablet;tablet;tablet;10219000;tablet;10219000;tablet;15054000;tablet;;tablet;20053000;oral use;oral use;oral use;;;;;100000090079;PAI;100000090079;amlodipine besilate;moiety;100000085259;amlodipine;Amlodipine Besilate;13.8700 mg;amlodipine besilaat;amlodipine;besilaat;;;;;;;Amlodipine;10.0000 mg;Amlodipine;10.0000 mg;1.0000 1;10;mg;2;;;;10;mg;;;;;;;;10;mg;;;;100000110655;;;;;;;;;;;;;60;5;mg;O;30;;amlodipine oral 10mg/;1651;amlodipine oraal 10 mg;TBD;amlodipine[GS];TBD;amlodipine besilate[L1];TBD;amlodipine[VTM];TBD;oral Solid Dose Form;TBD;oral;amlodipine oral 10mg/;;;3YJL6M9Z0H;amlodipine besilate (L1);TBD;amlodipine(GP);69;tablet;19;swallowing;31;oral;47;conventional;;69;19;31;47;;A;sys
530986-12;Amlodipine EG (PIP) tabl. (deelb.) Besilate 100 x 10 mg;https://samviewer.digile.be/nl/sam/ampps/530986-12;https://samviewer.digile.be/nl/sam/ampps/530986-12;Amlodipine Besilate EG 10 mg (PI Pharma) tabl. 100;Amlodipine EG (PIP) tabl. (deelb.) Besilate 100x 10mg;2630770;530986-12;530986-12;BEL amlodipine besilate PI-Pharma tablet 100 x 10mg/;BEL amlodipine besilate PI-Pharma tablet 100 x 10mg/;;;;;100;;100;;100;;;100.0000 {unit};98;;;;;;1;100;10219000;tablet;tablet;313;15054000;tablet;15054000;tablet;tablet;;100;;;11567;BEL amlodipine besilate PI-Pharma tablet 10mg/;;;11567;Amlodipine EG (PIP) tabl. (deelb.) Besilate 10 mg;;C08CA01;Amlodipine;10221000;tablet;1303;PI-Pharma;;PI-Pharma;1303;BEL;amlodipine besilate tablet 10mg/;;amlodipine besilate tablet 10mg/;0x166dc3231bc949437b7638d18d00ba60;10219000;tablet;tablet;;10219000;tablet;10219000;tablet;15054000;tablet;;tablet;20053000;oral use;oral use;;;;;;100000090079;PAI;100000090079;amlodipine besilate;moiety;100000085259;amlodipine;Amlodipine Besilate;13.8800 mg;amlodipine besilaat;amlodipine;besilaat;;;;;;;Amlodipine Besilate;10.0000 mg;; ; ;10;mg;2;;;;10;mg;;;;;;;;10;mg;;;;100000110655;;;;;;;;;;;;;200;5;mg;O;100;;amlodipine oral 10mg/;1651;amlodipine oraal 10 mg;TBD;amlodipine[GS];TBD;amlodipine besilate[L1];TBD;amlodipine[VTM];TBD;oral Solid Dose Form;TBD;oral;amlodipine oral 10mg/;;;3YJL6M9Z0H;amlodipine besilate (L1);TBD;amlodipine(GP);69;tablet;19;swallowing;31;oral;47;conventional;;69;19;31;47;;A;sys
291557-12;Amlodipine EG tabl. (deelb.) Besilate 100 x 10 mg;https://samviewer.digile.be/nl/sam/ampps/291557-12;https://samviewer.digile.be/nl/sam/ampps/291557-12;Amlodipine Besilate EG 10 mg tabl. 100;Amlodipine EG tabl. (deelb.) Besilate 100x 10mg;2430395;291557-12;291557-12;BEL amlodipine besilate EG tablet 100 x 10mg/;BEL amlodipine besilate EG tablet 100 x 10mg/;;;;;100;;100;;100;;;100.0000 {unit};28;https://app.fagg-afmps.be/pharma-status/api/files/62bc6dc11e5c015ab3ebce55?version=7;;;;;1;100;10219000;tablet;tablet;313;15054000;tablet;15054000;tablet;tablet;;100;;;4991;BEL amlodipine besilate EG tablet 10mg/;;;4991;Amlodipine EG tabl. (deelb.) Besilate 10 mg;;C08CA01;Amlodipine;10221000;tablet;1304;EG;;EG;1304;BEL;amlodipine besilate tablet 10mg/;;amlodipine besilate tablet 10mg/;0x166dc3231bc949437b7638d18d00ba60;10219000;tablet;tablet;tablet;10219000;tablet;10219000;tablet;15054000;tablet;;tablet;20053000;oral use;oral use;oral use;;;;;100000090079;PAI;100000090079;amlodipine besilate;moiety;100000085259;amlodipine;Amlodipine Besilate;13.8800 mg;amlodipine besilaat;amlodipine;besilaat;;;;;;;Amlodipine;10.0000 mg;Amlodipine;10.0000 mg;1.0000 1;10;mg;2;;;;10;mg;;;;;;;;10;mg;;;;100000110655;;;;;;;;;;;;;200;5;mg;O;100;;amlodipine oral 10mg/;1651;amlodipine oraal 10 mg;TBD;amlodipine[GS];TBD;amlodipine besilate[L1];TBD;amlodipine[VTM];TBD;oral Solid Dose Form;TBD;oral;amlodipine oral 10mg/;;;3YJL6M9Z0H;amlodipine besilate (L1);TBD;amlodipine(GP);69;tablet;19;swallowing;31;oral;47;conventional;;69;19;31;47;;A;sys
291557-07;Amlodipine EG tabl. (deelb.) Besilate 30 x 10 mg;https://samviewer.digile.be/nl/sam/ampps/291557-07;https://samviewer.digile.be/nl/sam/ampps/291557-07;Amlodipine Besilate EG 10 mg tabl. 30;Amlodipine EG tabl. (deelb.) Besilate 30x 10mg;2430353;291557-07;291557-07;BEL amlodipine besilate EG tablet 30 x 10mg/;BEL amlodipine besilate EG tablet 30 x 10mg/;;;;;30;;30;;30;;;30.0000 {unit};30;https://app.fagg-afmps.be/pharma-status/api/files/62bc6dc11e5c015ab3ebce55?version=7;;;;;1;30;10219000;tablet;tablet;313;15054000;tablet;15054000;tablet;tablet;;30;;;4991;BEL amlodipine besilate EG tablet 10mg/;;;4991;Amlodipine EG tabl. (deelb.) Besilate 10 mg;;C08CA01;Amlodipine;10221000;tablet;1304;EG;;EG;1304;BEL;amlodipine besilate tablet 10mg/;;amlodipine besilate tablet 10mg/;0x166dc3231bc949437b7638d18d00ba60;10219000;tablet;tablet;tablet;10219000;tablet;10219000;tablet;15054000;tablet;;tablet;20053000;oral use;oral use;oral use;;;;;100000090079;PAI;100000090079;amlodipine besilate;moiety;100000085259;amlodipine;Amlodipine Besilate;13.8800 mg;amlodipine besilaat;amlodipine;besilaat;;;;;;;Amlodipine;10.0000 mg;Amlodipine;10.0000 mg;1.0000 1;10;mg;2;;;;10;mg;;;;;;;;10;mg;;;;100000110655;;;;;;;;;;;;;60;5;mg;O;30;;amlodipine oral 10mg/;1651;amlodipine oraal 10 mg;TBD;amlodipine[GS];TBD;amlodipine besilate[L1];TBD;amlodipine[VTM];TBD;oral Solid Dose Form;TBD;oral;amlodipine oral 10mg/;;;3YJL6M9Z0H;amlodipine besilate (L1);TBD;amlodipine(GP);69;tablet;19;swallowing;31;oral;47;conventional;;69;19;31;47;;A;sys
369117-04;Amlodipine Mylan tabl. (deelb.) Besilate 100 x 10 mg;https://samviewer.digile.be/nl/sam/ampps/369117-04;https://samviewer.digile.be/nl/sam/ampps/369117-04;Amlodipine Besilate Mylan 10 mg tabl. 100;Amlodipine Mylan tabl. (deelb.) Besilate 100x 10mg;2761179;369117-04;369117-04;BEL amlodipine besilate Mylan tablet 100 x 10mg/;BEL amlodipine besilate Mylan tablet 100 x 10mg/;;;;;100;;100;;100;;;100.0000 {unit};56;https://app.fagg-afmps.be/pharma-status/api/files/62bc67a91e5c015ab3df2091?version=8;;;;;1;100;10219000;tablet;tablet;313;15054000;tablet;15054000;tablet;tablet;;100;;;7003;BEL amlodipine besilate Mylan tablet 10mg/;;;7003;Amlodipine Mylan tabl. (deelb.) Besilate 10 mg;;C08CA01;Amlodipine;10221000;tablet;1305;Mylan;;Mylan;1305;BEL;amlodipine besilate tablet 10mg/;;amlodipine besilate tablet 10mg/;0x166dc3231bc949437b7638d18d00ba60;10219000;tablet;tablet;tablet;10219000;tablet;10219000;tablet;15054000;tablet;;tablet;20053000;oral use;oral use;oral use;;;;;100000090079;PAI;100000090079;amlodipine besilate;moiety;100000085259;amlodipine;Amlodipine Besilate;13.8800 mg;amlodipine besilaat;amlodipine;besilaat;;;;;;;Amlodipine Besilate;10.0000 mg;Amlodipine;10.0000 mg;1.0000 1;10;mg;2;;;;10;mg;;;;;;;;10;mg;;;;100000110655;;;;;;;;;;;;;200;5;mg;O;100;;amlodipine oral 10mg/;1651;amlodipine oraal 10 mg;TBD;amlodipine[GS];TBD;amlodipine besilate[L1];TBD;amlodipine[VTM];TBD;oral Solid Dose Form;TBD;oral;amlodipine oral 10mg/;;;3YJL6M9Z0H;amlodipine besilate (L1);TBD;amlodipine(GP);69;tablet;19;swallowing;31;oral;47;conventional;;69;19;31;47;;A;sys
